Game,MS_Store_Link,ProductID,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre,Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes,Status.1,Added.1,Delay
The Walking Dead: Michonne,https://www.xbox.com/en-us/games/store/The-Walking-Dead-Michonne-The-Complete-Season/C2XNJC9WK15X,C2XNJC9WK15X,Xbox / PC,Touch Controls,Active,Mar 2019,,80.7,Feb 2016,3.1,64,4.0,Adventure,,"Joined PC 11/1/22, left 9/30/24",M,"Intense Violence, Blood, Use of Drugs, Language",,Active,Sep 2024,65.47
Crackdown 3,https://www.xbox.com/en-us/games/store/Crackdown-3-Campaign/9P1HXTHZ28CB,9P1HXTHZ28CB,Xbox / PC,Yes,Active,Feb 2019,,82.13,Feb 2019,0.0,60,7.0,Action-Adventure,,,M,"Blood, Sexual Themes, Drug Reference, Strong Language, Violence",,Active,Sep 2024,66.9
The Walking Dead: The Complete First Season,https://www.xbox.com/en-us/games/store/the-walking-dead-season-1/9nblggh4vxrw,9nblggh4vxrw,Xbox / PC,Touch Controls,Active,Feb 2019,,82.4,Dec 2017,1.17,89,13.0,Light-Gun Shooter,,"Joined PC 10/6/22, leaves PC 9/30/24",M,"Blood and Gore, Sexual Themes, Drug Reference, Strong Language, Intense Violence",,Active,Sep 2024,67.17
The Walking Dead: Season Two,https://www.xbox.com/en-us/games/store/The-Walking-Dead-Season-Two/C2DQXX0CB42F,C2DQXX0CB42F,Xbox / PC,Touch Controls,Active,Feb 2019,,81.7,Dec 2013,5.2,83,10.0,Adventure,,"Joined PC 10/6/22, leaves PC 9/30/24",M,"Blood and Gore, Intense Violence, Strong Language",,Active,Sep 2024,66.47
The Walking Dead: Season Two,https://www.xbox.com/en-us/games/store/The-Walking-Dead-Season-Two/C2DQXX0CB42F,C2DQXX0CB42F,Xbox / PC,Touch Controls,Active,Feb 2019,,81.7,Dec 2013,5.2,83,10.0,Adventure,,"Joined PC 10/6/22, leaves PC 9/30/24",M,"Blood and Gore, Intense Violence, Strong Language",,Active,Sep 2024,66.47
ARK: Ultimate Survivor Edition ,https://www.xbox.com/en-us/games/store/ARK-Ultimate-Survivor-Edition/9N5JRWWGMS1R,9N5JRWWGMS1R,Xbox / PC,Yes,Active,Jan 2019,,83.53,Dec 2016,2.08,69,123.0,Action-Adventure,Optimized,"New edition joins 2/14/22, Previously ARK: Survival Evolved - Explorer's Edition",T,"Use of Alcohol, Crude Humor, Blood, Violence",,Active,Sep 2024,68.3
Ori and the Blind Forest: Definitive Edition,https://www.xbox.com/en-us/games/store/Ori-and-the-Blind-Forest-Definitive-Edition/BW85KQB8Q31M,BW85KQB8Q31M,Xbox / PC,Yes,Active,Dec 2018,,83.97,Mar 2015,3.78,88,9.0,Puzzle / Platformer / Action-Adventure,,,E,Mild Fantasy Violence,,Active,Sep 2024,68.73
Hellblade: Senua's Sacrifice,https://www.xbox.com/en-us/games/store/Hellblade-Senuas-Sacrifice/C4Z7QM8FSXM2,C4Z7QM8FSXM2,Xbox / PC,Touch Controls,Active,Dec 2018,,84.07,Aug 2017,1.36,88,8.0,Action / Action-Adventure,Optimized,Game Pass Essential launch title (9/14/23),M,"Blood and Gore, Strong Language, Intense Violence",,Active,Sep 2024,68.83
Halo: The Master Chief Collection,https://www.xbox.com/en-us/games/store/Halo-The-Master-Chief-Collection/BPK4ZKFCFL5G,BPK4ZKFCFL5G,Xbox / PC,Yes,Active,Sep 2018,,87.6,Nov 2014,3.81,85,53.0,Compilation / First-Person Shooter,Optimized,,M,"Blood and Gore, Violence, Language",,Active,Sep 2024,72.37
Quantum Break,https://www.xbox.com/en-us/games/store/Quantum-Break/BPNDKQN84N6L,BPNDKQN84N6L,Xbox / PC,,Active,Sep 2018,,87.6,Apr 2016,2.41,77,10.0,Shooter,,"Joined 9/1/18, briefly left 4/15/23 due to licensing issues, PC added when game returned",M,"Blood, Strong Language, Intense Violence",,Active,Sep 2024,72.37
DOOM (2016),https://www.xbox.com/en-us/games/store/DOOM/C3QH42WRGM3R,C3QH42WRGM3R,Xbox,Yes,Active,Aug 2018,,88.3,May 2016,2.24,87,12.0,First-Person Shooter,,Game Pass Essential launch title (9/14/23),M,"Blood and Gore, Strong Language, Intense Violence",,Active,Sep 2024,73.07
RAGE,https://www.xbox.com/en-us/games/store/RAGE/BR27BSZ2M3SR,BR27BSZ2M3SR,Xbox,Yes,Active,Aug 2018,,88.6,Oct 2011,6.83,81,11.0,First-Person Shooter / Vehicular Combat,,,M,"Blood and Gore, Intense Violence, Strong Language",Xbox 360,Active,Sep 2024,73.37
Rush: A Disney Pixar Adventure,https://www.xbox.com/en-us/games/store/Rush-A-DisneyPixar-Adventure/9P3PL76N0KWZ,9P3PL76N0KWZ,Xbox / PC,Yes,Active,Aug 2018,,88.6,Mar 2012,6.36,68,3.0,Minigame Collection / Platformer,,,E10+,Cartoon Violence,,Active,Sep 2024,73.37
Ryse: Son of Rome,https://www.xbox.com/en-us/games/store/Ryse-Son-of-Rome-In-Game-Gold/C29LML3XCBJZ,C29LML3XCBJZ,Xbox,Yes,Active,Aug 2018,,88.6,Nov 2013,4.69,60,7.0,Action / Brawler,,Joined cloud 2/18/25,M,"Blood and Gore, Sexual Content, Partial Nudity, Strong Language, Intense Violence",,Active,Sep 2024,73.37
Ryse: Son of Rome,https://www.xbox.com/en-us/games/store/Ryse-Legendary-Edition/C4F7ZHLN6B2J,C4F7ZHLN6B2J,Xbox,Yes,Active,Aug 2018,,88.6,Nov 2013,4.69,60,7.0,Action / Brawler,,Joined cloud 2/18/25,M,"Blood and Gore, Sexual Content, Partial Nudity, Strong Language, Intense Violence",,Active,Sep 2024,73.37
Fallout 3: Game of the Year Edition,https://www.xbox.com/en-us/games/store/Fallout-3-Game-of-the-Year-Edition/9NBZ9JF6TFMD,9NBZ9JF6TFMD,Xbox / PC,Yes,Active,Jul 2018,,89.6,Oct 2008,9.68,93,23.0,RPG / First-Person Shooter,FPS Boost,"Official PC Mod Support, enhanced edition only on PC",M,"Blood and Gore, Intense Violence, Sexual Themes, Strong Language, Use of Drugs",Xbox 360,Active,Sep 2024,74.37
Human: Fall Flat,https://www.xbox.com/en-us/games/store/Human-Fall-Flat/BSMZH25V6V46,BSMZH25V6V46,Xbox / PC,Yes,Active,Jul 2018,,89.6,Jul 2016,1.94,73,6.0,Puzzle,Optimized,Game Pass Essential launch title (9/14/23),E,,,Active,Sep 2024,74.37
Disneyland Adventures,https://www.xbox.com/en-us/games/store/Disneyland-Adventures/9N6Z8DQXSQWH,9N6Z8DQXSQWH,Xbox / PC,Yes,Active,Jun 2018,,90.6,Nov 2011,6.54,67,16.0,Adventure / Minigame Collection,,,E10+,,,Active,Sep 2024,75.37
Wasteland 2: Director's Cut,https://www.xbox.com/en-us/games/store/Wasteland-2-Directors-Cut/C521HDXRTS7F,C521HDXRTS7F,Xbox / PC,Touch Controls,Active,Jun 2018,,90.6,Sep 2014,3.7,77,40.0,RPG,,,M,"Blood and Gore, Sexual Content, Drug Reference, Strong Language, Violence",,Active,Sep 2024,75.37
Cities: Skylines - Remastered,https://www.xbox.com/en-us/games/store/cities-skylines-remastered/9mz4gbwx9gnd,9mz4gbwx9gnd,Xbox / PC,M+KB,Active,Apr 2018,,92.6,Mar 2015,3.06,83,26.0,Simulation,,Game Pass Essential (10/1/25). Remasted coming to Xbox Series X|S and cloud exclusively beginning 2/15/23. PC version is not remastered,E,,,Active,Sep 2024,77.37
theHunter: Call of the Wild,https://www.xbox.com/en-us/games/store/theHunter-Call-of-the-Wild/BXBJQ1932138,BXBJQ1932138,Xbox / PC,Yes,Active,Apr 2018,,92.6,Feb 2017,1.13,83,21.0,Simulation / First-Person Shooter,,Joined PC 12/1/2021,T,"Blood, Violence",,Active,Sep 2024,77.37
Super Lucky's Tale,https://www.xbox.com/en-us/games/store/Super-Luckys-Tale/9PLMGFWCFZ9G,9PLMGFWCFZ9G,Xbox / PC,,Active,Mar 2018,,93.6,Nov 2017,0.32,64,6.0,Platformer,FPS Boost,,E,Mild Cartoon Violence,,Active,Sep 2024,78.37
Fable Anniversary,https://www.xbox.com/en-us/games/store/Fable-Anniversary/C2Q32JM0BPZL,C2Q32JM0BPZL,Xbox,Touch Controls,Active,Feb 2018,,94.6,Feb 2014,3.99,68,14.0,RPG / Action-Adventure,,Game Pass Essential launch title (9/14/23),M,"Blood and Gore, Language, Use of Alcohol, Violence, Sexual Content",Xbox 360,Active,Sep 2024,79.37
Fable Anniversary,https://www.xbox.com/en-us/games/store/Fable-Anniversary/C2Q32JM0BPZL,C2Q32JM0BPZL,Xbox,Touch Controls,Active,Feb 2018,,94.6,Feb 2014,3.99,68,14.0,RPG / Action-Adventure,,Game Pass Essential launch title (9/14/23),M,"Blood and Gore, Language, Use of Alcohol, Violence, Sexual Content",Xbox 360,Active,Sep 2024,79.37
Halo Wars 2,https://www.xbox.com/en-us/games/store/Halo-Wars-2/C21TDXKRNMHZ,C21TDXKRNMHZ,Xbox / PC,Touch Controls,Active,Feb 2018,,94.6,Feb 2017,0.96,79,8.0,Real-Time Strategy,FPS Boost,Game Pass Essential launch title (9/14/23),T,"Mild Blood, Mild Language, Violence",,Active,Sep 2024,79.37
Zoo Tycoon: Ultimate Animal Collection,https://www.xbox.com/en-us/games/store/Zoo-Tycoon-Ultimate-Animal-Collection/9PJ06TZX4NMH,9PJ06TZX4NMH,Xbox / PC,,Active,Jan 2018,,95.6,Oct 2017,0.17,68,14.0,Simulation,,,E,,,Active,Sep 2024,80.37
Gears of War 4,https://www.xbox.com/en-us/games/store/Gears-of-War-4/9NBLGGH4PBBM,9NBLGGH4PBBM,Xbox / PC,Yes,Active,Dec 2017,,96.6,Oct 2016,1.15,84,9.0,Shooter,FPS Boost,,M,"Blood and Gore, Strong Language, Intense Violence",,Active,Sep 2024,81.37
Gears of War 4,https://www.xbox.com/en-us/games/store/Gears-of-War-4/9NBLGGH4PBBM,9NBLGGH4PBBM,Xbox / PC,Yes,Active,Dec 2017,,96.6,Oct 2016,1.15,84,9.0,Shooter,FPS Boost,,M,"Blood and Gore, Strong Language, Intense Violence",,Active,Sep 2024,81.37
Mass Effect,https://www.xbox.com/en-us/games/store/Mass-Effect-Legendary-Edition/9PKWHT7G60WQ,9PKWHT7G60WQ,Xbox / PC,,Active,Dec 2017,,96.6,Nov 2007,10.03,90,17.0,RPG / Shooter,,,M,"Blood, Sexual Themes, Partial Nudity, Violence, Language",Xbox 360,Active,Sep 2024,81.37
Halo Wars: Definitive Edition,https://www.xbox.com/en-us/games/store/Halo-Wars-Definitive-Edition/BPRPQSKXTD1L,BPRPQSKXTD1L,Xbox / PC,Touch Controls,Active,Nov 2017,,97.6,Feb 2009,8.68,81,9.0,Action / RPG,,,T,"Violence, Mild Blood, Mild Language",,Active,Sep 2024,82.37
Costume Quest 2,https://www.xbox.com/en-us/games/store/Costume-Quest-2/BZ92FB6PWXFJ,BZ92FB6PWXFJ,Xbox,,Active,Oct 2017,,98.6,Oct 2014,2.98,65,7.0,RPG,,,E10+,Fantasy Violence,,Active,Sep 2024,83.37
Costume Quest 2,https://www.xbox.com/en-us/games/store/Costume-Quest-2/BZ92FB6PWXFJ,BZ92FB6PWXFJ,Xbox,,Active,Oct 2017,,98.6,Oct 2014,2.98,65,7.0,RPG,,,E10+,Fantasy Violence,,Active,Sep 2024,83.37
State of Decay: Year One Survival Edition,https://www.xbox.com/en-us/games/store/State-of-Decay-Year-One-Survival-Edition/C4HXGZ1X0881,C4HXGZ1X0881,Xbox,,Active,Oct 2017,,98.6,Apr 2015,2.43,72,18.0,Strategy / Shooter / Action-Adventure,,,M,"Blood and Gore, Drug Reference, Strong Language, Intense Violence",,Active,Sep 2024,83.37
ReCore: Definitive Edition,https://www.xbox.com/en-us/games/store/ReCore/9NBLGGH1Z6FQ,9NBLGGH1Z6FQ,Xbox / PC,Yes,Active,Aug 2017,,99.67,Sep 2016,0.96,61,12.0,Adventure,FPS Boost,,T,Violence,,Active,Sep 2024,84.43
Banjo-Kazooie,https://www.xbox.com/en-us/games/store/Banjo-Kazooie/BSJG7TTSWVJ2,BSJG7TTSWVJ2,Xbox,Touch Controls,Active,Jun 2017,,102.6,Jun 1998,18.92,77,11.0,Adventure,,,E,Violence,,Active,Sep 2024,87.37
Banjo-Kazooie: Nuts & Bolts,https://www.xbox.com/en-us/games/store/Banjo-Kazooie-N-n-B/BVR64CDJ01FJ,BVR64CDJ01FJ,Xbox,Yes,Active,Jun 2017,,102.6,Nov 2008,8.56,79,16.0,Adventure,,,E10+,"Crude Humor, Cartoon Violence",Xbox 360,Active,Sep 2024,87.37
Banjo-Tooie,https://www.xbox.com/en-us/games/store/Banjo-Tooie/BX27S00SKW1V,BX27S00SKW1V,Xbox,Touch Controls,Active,Jun 2017,,102.6,Nov 2000,16.53,73,16.0,Adventure,,,E,,,Active,Sep 2024,87.37
Fable III,https://www.xbox.com/en-us/games/store/Fable-III/BR46KM4D5B9L,BR46KM4D5B9L,Xbox,Touch Controls,Active,Jun 2017,,102.6,Oct 2010,6.6,80,13.0,Adventure,FPS Boost,,M,"Use of Alcohol, Blood, Sexual Content, Violence, Language",Xbox 360,Active,Sep 2024,87.37
Fable III,https://www.xbox.com/en-us/games/store/Fable-III/BR46KM4D5B9L,BR46KM4D5B9L,Xbox,Touch Controls,Active,Jun 2017,,102.6,Oct 2010,6.6,80,13.0,Adventure,FPS Boost,,M,"Use of Alcohol, Blood, Sexual Content, Violence, Language",Xbox 360,Active,Sep 2024,87.37
Fuzion Frenzy,https://www.xbox.com/en-us/games/store/Fuzion-Frenzy/C2P985H1H42H,C2P985H1H42H,Xbox,Touch Controls,Active,Jun 2017,,102.6,Nov 2001,15.55,70,4.0,Minigame Collection,,,E,Violence,OG Xbox,Active,Sep 2024,87.37
Gears of War,https://www.xbox.com/en-us/games/store/gears-of-war-reloaded/9p8ps6993lsl,9p8ps6993lsl,Xbox,,Active,Jun 2017,,102.6,Nov 2006,10.57,94,9.0,Shooter,FPS Boost,,M,,Xbox 360,Active,Sep 2024,87.37
Gears of War 2,https://www.xbox.com/en-us/games/store/Gears-of-War-2/C1SDBNRFXT1D,C1SDBNRFXT1D,Xbox,Yes,Active,Jun 2017,,102.6,Nov 2008,8.57,93,10.0,Action / Shooter,FPS Boost,,M,"Blood and Gore, Strong Language, Intense Violence",Xbox 360,Active,Sep 2024,87.37
Gears of War 2,https://www.xbox.com/en-us/games/store/Gears-of-War-2/C1SDBNRFXT1D,C1SDBNRFXT1D,Xbox,Yes,Active,Jun 2017,,102.6,Nov 2008,8.57,93,10.0,Action / Shooter,FPS Boost,,M,"Blood and Gore, Strong Language, Intense Violence",Xbox 360,Active,Sep 2024,87.37
Gears of War 3,https://www.xbox.com/en-us/games/store/Gears-of-War-3/BPKDQSSFQ9WV,BPKDQSSFQ9WV,Xbox,Yes,Active,Jun 2017,,102.6,Sep 2011,5.7,91,10.0,Action / Shooter,FPS Boost,,M,"Blood and Gore, Strong Language, Intense Violence",Xbox 360,Active,Sep 2024,87.37
Gears of War 3,https://www.xbox.com/en-us/games/store/Gears-of-War-3/BPKDQSSFQ9WV,BPKDQSSFQ9WV,Xbox,Yes,Active,Jun 2017,,102.6,Sep 2011,5.7,91,10.0,Action / Shooter,FPS Boost,,M,"Blood and Gore, Strong Language, Intense Violence",Xbox 360,Active,Sep 2024,87.37
Gears of War: Ultimate Edition,https://www.xbox.com/en-us/games/store/Gears-of-War-Ultimate-Edition/BQT21VXFS52F,BQT21VXFS52F,Xbox / PC,Yes,Active,Jun 2017,,102.6,Nov 2006,10.57,82,9.0,Shooter,FPS Boost,,M,"Blood and Gore, Strong Language, Intense Violence",,Active,Sep 2024,87.37
Halo 5: Guardians,https://www.xbox.com/en-us/games/store/Halo-5-Guardians/BRRC2BP0G9P0,BRRC2BP0G9P0,Xbox,Yes,Active,Jun 2017,,102.6,Oct 2015,1.59,84,8.0,First-Person Shooter,,Game Pass Essential launch title (9/14/23),T,"Blood, Mild Language, Violence",,Active,Sep 2024,87.37
Halo: Spartan Assault,https://www.xbox.com/en-us/games/store/Halo-Spartan-Assault/BV0K9LMLQ9W5,BV0K9LMLQ9W5,Xbox / PC,Touch Controls,Active,Jun 2017,,102.6,Jul 2013,3.87,53,4.0,Dual-Joystick Shooter,FPS Boost,,T,"Blood, Violence",,Active,Sep 2024,87.37
Halo: Spartan Assault,https://www.xbox.com/en-us/games/store/Halo-Spartan-Assault/BV0K9LMLQ9W5,BV0K9LMLQ9W5,Xbox / PC,Touch Controls,Active,Jun 2017,,102.6,Jul 2013,3.87,53,4.0,Dual-Joystick Shooter,FPS Boost,,T,"Blood, Violence",,Active,Sep 2024,87.37
Jetpac Refuelled,https://www.xbox.com/en-us/games/store/Jetpac-Refuelled/BRRVN5198461,BRRVN5198461,Xbox,Touch Controls,Active,Jun 2017,,102.6,Mar 2007,10.18,73,5.0,Action / Shooter,,,E,Mild Fantasy Violence,Xbox 360,Active,Sep 2024,87.37
Joy Ride Turbo,https://www.xbox.com/en-us/games/store/Joy-Ride-Turbo/C1ZWH2BZ9TSF,C1ZWH2BZ9TSF,Xbox,Touch Controls,Active,Jun 2017,,102.6,May 2012,5.02,67,2.0,Driving/Racing,,,E,Mild Fantasy Violence,Xbox 360,Active,Sep 2024,87.37
Joy Ride Turbo,https://www.xbox.com/en-us/games/store/Joy-Ride-Turbo/C1ZWH2BZ9TSF,C1ZWH2BZ9TSF,Xbox,Touch Controls,Active,Jun 2017,,102.6,May 2012,5.02,67,2.0,Driving/Racing,,,E,Mild Fantasy Violence,Xbox 360,Active,Sep 2024,87.37
Kameo: Elements of Power,https://www.xbox.com/en-us/games/store/Kameo/BV83SM3191S5,BV83SM3191S5,Xbox,Yes,Active,Jun 2017,,102.6,Nov 2005,11.55,79,10.0,Action-Adventure,FPS Boost,,T,Violence,Xbox 360,Active,Sep 2024,87.37
Max: The Curse of Brotherhood,https://www.xbox.com/en-us/games/store/Max-The-Curse-of-Brotherhood/C0SFCF4PBRSZ,C0SFCF4PBRSZ,Xbox,,Active,Jun 2017,,102.6,Dec 2013,3.45,72,6.0,Puzzle / Platformer,,,E10+,3,,Active,Sep 2024,87.37
Max: The Curse of Brotherhood,https://www.xbox.com/en-us/games/store/Max-The-Curse-of-Brotherhood/C0SFCF4PBRSZ,C0SFCF4PBRSZ,Xbox,,Active,Jun 2017,,102.6,Dec 2013,3.45,72,6.0,Puzzle / Platformer,,,E10+,3,,Active,Sep 2024,87.37
Payday 2: Crimewave Edition,https://www.xbox.com/en-us/games/store/payday-2-crimewave-edition/9n3k69gs7fwr,9n3k69gs7fwr,Xbox,,Active,Jun 2017,,102.6,Aug 2013,3.8,65,25.0,First-Person Shooter,,Game Pass Essential launch title (9/14/23),M,"Blood and Gore, Suggestive Themes, Drug Reference, Strong Language, Intense Violence",,Active,Sep 2024,87.37
Perfect Dark Zero,https://www.xbox.com/en-us/games/store/Perfect-Dark-Zero/BZF7N4FQWHNR,BZF7N4FQWHNR,Xbox,Yes,Active,Jun 2017,,102.6,Jun 2006,10.98,81,8.0,First-Person Shooter,,,M,"Blood, Violence, Language",Xbox 360,Active,Sep 2024,87.37
ScreamRide,https://www.xbox.com/en-us/games/store/ScreamRide/BQ4M1XWXFKHB,BQ4M1XWXFKHB,Xbox,,Active,Jun 2017,,102.6,Mar 2015,2.24,71,6.0,Action,,,E10+,Mild Violence,,Active,Sep 2024,87.37
Sunset Overdrive,https://www.xbox.com/en-us/games/store/Sunset-Overdrive/BRZHFR5XBLQS,BRZHFR5XBLQS,Xbox / PC,,Active,Jun 2017,,102.6,Oct 2014,2.59,81,10.0,Shooter / Platformer / Action-Adventure,,,M,"Blood and Gore, Sexual Themes, Drug Reference, Strong Language, Violence",,Active,Sep 2024,87.37
Sunset Overdrive,https://www.xbox.com/en-us/games/store/Sunset-Overdrive/BRZHFR5XBLQS,BRZHFR5XBLQS,Xbox / PC,,Active,Jun 2017,,102.6,Oct 2014,2.59,81,10.0,Shooter / Platformer / Action-Adventure,,,M,"Blood and Gore, Sexual Themes, Drug Reference, Strong Language, Violence",,Active,Sep 2024,87.37
Terraria,https://www.xbox.com/en-us/games/store/Terraria/BTNPS60N3114,BTNPS60N3114,Xbox,M+KB,Active,Jun 2017,,102.6,May 2011,6.04,84,94.0,Platformer / Action-Adventure,,,T,"Use of Alcohol, Blood and Gore, Mild Suggestive Themes, Cartoon Violence",,Active,Sep 2024,87.37
Terraria,https://www.xbox.com/en-us/games/store/Terraria/BTNPS60N3114,BTNPS60N3114,Xbox,M+KB,Active,Jun 2017,,102.6,May 2011,6.04,84,94.0,Platformer / Action-Adventure,,,T,"Use of Alcohol, Blood and Gore, Mild Suggestive Themes, Cartoon Violence",,Active,Sep 2024,87.37
Viva Piñata,https://www.xbox.com/en-us/games/store/Viva-Pinata/BSXSL6WBJ0V7,BSXSL6WBJ0V7,Xbox,Touch Controls,Active,Jun 2017,,102.6,Nov 2006,10.56,84,19.0,Strategy / Simulation,,,E,"Crude Humor, Mild Cartoon Violence",Xbox 360,Active,Sep 2024,87.37
Viva Piñata: Trouble in Paradise,https://www.xbox.com/en-us/games/store/Viva-Pinata-TIP/BS1NPTPJGD4G,BS1NPTPJGD4G,Xbox,Touch Controls,Active,Jun 2017,,102.6,Sep 2008,8.75,82,27.0,Strategy / Simulation,,,E,"Crude Humor, Mild Cartoon Violence",Xbox 360,Active,Sep 2024,87.37
Viva Piñata: Trouble in Paradise,https://www.xbox.com/en-us/games/store/Viva-Pinata-TIP/BS1NPTPJGD4G,BS1NPTPJGD4G,Xbox,Touch Controls,Active,Jun 2017,,102.6,Sep 2008,8.75,82,27.0,Strategy / Simulation,,,E,"Crude Humor, Mild Cartoon Violence",Xbox 360,Active,Sep 2024,87.37
Carrion,https://www.xbox.com/en-us/games/store/Carrion/9NPKKNBJ258V,9NPKKNBJ258V,Xbox / PC,Yes,Leaving Soon,Jan 2025,Dec 2025,11.93,Jul 2020,4.44,76,4.0,Action,,"Returning title: Originally joined 7/23/20, left 7/15/22",M,"Blood and Gore, Violence",,Leaving Soon,Jan 2025,0.0
Hell Let Loose,https://www.xbox.com/en-us/games/store/Hell-Let-Loose/9N44WK3WV2HJ,9N44WK3WV2HJ,Xbox / PC,Yes,Leaving Soon,Jan 2024,Dec 2025,23.87,Jun 2019,4.58,79,30.0,Action / First-Person Shooter / Vehicular Combat,Exclusive,,,,,Leaving Soon,Sep 2024,8.27
Mortal Kombat 11,https://www.xbox.com/en-us/games/store/Mortal-Kombat-11/BTC0L0BW6LWC,BTC0L0BW6LWC,Xbox / PC,Yes,Removed,Dec 2021,Dec 2025,47.97,Apr 2015,6.65,82,6.0,Fighting,,,M,"Blood and Gore, Strong Language, Intense Violence",,Removed,Sep 2024,32.87
Barbie Project Friendship,https://www.xbox.com/en-us/games/store/barbie-project-friendship/9nbv7kw62rxv,9nbv7kw62rxv,Xbox / PC,Yes,Removed,Jun 2025,Nov 2025,5.63,Oct 2024,0.63,80,8.0,Action-Adventure,,,,,,Removed,Jun 2025,0.0
Octopath Traveler,https://www.xbox.com/en-us/games/store/OCTOPATH-TRAVELER/9N9606CC950J,9N9606CC950J,Xbox / PC,Touch Controls,Removed,Jun 2024,Nov 2025,17.8,Jul 2018,5.9,83,61.0,RPG,,"Returning title: Originally joined 3/25/21, left 2/28/23",T,"Blood, Fantasy Violence, Mild Language, Suggestive Themes, Use of Alcohol",,Removed,Sep 2024,3.2
SteamWorld Build,https://www.xbox.com/en-us/games/store/steamworld-build/9mvrdc1bw8tq,9mvrdc1bw8tq,Xbox / PC,Yes,Removed,Dec 2023,Nov 2025,23.97,Dec 2023,0.0,74,9.0,Strategy / Simulation,,,,,,Removed,Sep 2024,9.37
NBA LIVE 19,https://www.xbox.com/en-us/games/store/NBA-LIVE-19-Pre-order-Incentive/BNSKQL66QLC0,BNSKQL66QLC0,Xbox,,Removed,Nov 2020,Oct 2025,59.43,Sep 2018,2.18,75,28.0,Sports / Basketball,,,E,,,Removed,Sep 2024,46.07
Cocoon,https://www.xbox.com/en-us/games/store/cocoon/9n3fps4ldhcr,9n3fps4ldhcr,Xbox / PC,,Removed,Sep 2023,Oct 2025,24.53,Sep 2023,0.0,89,5.0,Puzzle,,,RP,,,Removed,Sep 2024,11.43
NINJA GAIDEN: Master Collection,https://www.xbox.com/en-us/games/store/NINJA-GAIDEN-Master-Collection/9NCG3X89KRLD,9NCG3X89KRLD,Xbox / PC,Touch Controls,Removed,Jun 2022,Sep 2025,39.93,Jun 2021,0.98,72,30.0,Action / Compilation,,,M,"Blood and Gore, Intense Violence, Partial Nudity, Strong Language, Suggestive Themes",,Removed,Sep 2024,27.33
We Love Katamari Reroll + Royal Reverie,https://www.xbox.com/en-us/games/store/we-love-katamari-reroll-royal-reverie/9p648h4r49gb,9p648h4r49gb,Xbox / PC,Yes,Removed,Sep 2024,Sep 2025,11.63,Jun 2023,1.32,81,5.0,Action-Adventure,,,,,,Removed,Sep 2024,0.0
Wargroove 2,https://www.xbox.com/en-us/games/store/Wargroove/9NRPTTJ94PCK,9NRPTTJ94PCK,Xbox / PC,Yes,Removed,Sep 2024,Sep 2025,11.87,Oct 2023,0.96,85,21.0,Strategy,,,,,,Removed,Apr 2025,6.47
This War of Mine: Final Cut,https://www.xbox.com/en-us/games/store/this-war-of-mine-final-cut/9mt6tg9cxr2h,9mt6tg9cxr2h,Xbox / PC,Touch Controls,Removed,May 2022,Aug 2025,39.67,Nov 2014,7.49,81,11.0,Strategy / Adventure,Exclusive,,M,"Blood, Mild Sexual Themes, Strong Language, Use of Alcohol and Tobacco, Violence",,Removed,Sep 2024,28.07
Ben 10: Power Trip,https://www.xbox.com/en-us/games/store/Ben-10-Power-Trip/9NJWFF2KHL6H,9NJWFF2KHL6H,Xbox / PC,Touch Controls,Removed,Dec 2021,Aug 2025,44.47,Oct 2020,1.19,67,5.0,Brawler / Action-Adventure,,,E10+,Cartoon Violence,,Removed,Sep 2024,32.87
PAW Patrol Mighty Pups: Save Adventure Bay,https://www.xbox.com/en-us/games/store/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/9N3TF03KNTBD,9N3TF03KNTBD,Xbox / PC,Touch Controls,Removed,Dec 2021,Aug 2025,44.47,Nov 2020,1.11,65,5.0,Action,,,E,,,Removed,Sep 2024,32.87
Farming Simulator 22,https://www.xbox.com/en-us/games/store/Farming-Simulator-22/9P6SRW1HVW9K,9P6SRW1HVW9K,Xbox / PC,Yes,Removed,May 2022,Aug 2025,38.87,Nov 2021,0.49,76,466.0,Simulation,,,E,,,Removed,Sep 2024,27.77
Anthem,https://www.xbox.com/en-us/games/store/Anthem-Legion-of-Dawn-Edition/C1H46KTPZZ2Q,C1H46KTPZZ2Q,Xbox / PC,,Removed,Nov 2020,Aug 2025,57.17,Feb 2019,1.74,62,13.0,Action / RPG,FPS Boost X Only,,T,"Mild Blood, Use of Tobacco, Alcohol Reference, Violence, Language",Does not FPS boost on Series S,Removed,Sep 2024,46.07
Gigantic: Rampage Edition,https://www.xbox.com/en-us/games/store/gigantic-rampage-edition/9pgg5gf9326c,9pgg5gf9326c,Xbox / PC,Yes,Removed,Jan 2025,Jul 2025,6.27,Apr 2024,0.79,65,16.0,MOBA,,,,,,TBD,,10.9
Turnip Boy Robs a Bank,https://www.xbox.com/en-us/games/store/turnip-boy-robs-a-bank/9ndt1ms39fxz,9ndt1ms39fxz,Xbox / PC,Yes,Removed,Jan 2024,Jul 2025,18.4,Jan 2024,0.0,82,4.0,Action-Adventure,,,RP,,,Removed,Nov 2024,9.6
